table_name,column_name,column_data_type,sample_data,sample_data_type,number_of_unique,number_of_null,column_total_records,table_total_records
lead_log,id,int64,8,<class 'int'>,8,0,8,8
lead_log,lead_id,object,bbd3c7b2448041dc5339b23878cacd79,<class 'str'>,5,0,8,8
lead_log,source_category,object,Offline,<class 'str'>,2,0,8,8
lead_log,created_at,object,2024-05-01T02:54:03.482Z,<class 'str'>,5,0,8,8
lead_log,preferred_location,object,BENHIL,<class 'str'>,3,0,8,8
lead_log,timezone_location,object,Asia/Jakarta,<class 'str'>,1,0,8,8
lead_log,current_status,object,Maybe,<class 'str'>,5,0,8,8
paid_transactions,transaction_id,object,1d1eb8a9e864a1cccb2d850398461807,<class 'str'>,14,0,14,14
paid_transactions,transaction_status,object,PAID,<class 'str'>,1,0,14,14
paid_transactions,transaction_at,object,2024-05-02T07:53:43.179Z,<class 'str'>,14,0,14,14
paid_transactions,transaction_location,object,MAMPANG,<class 'str'>,6,0,14,14
paid_transactions,timezone_transaction,object,Asia/Jakarta,<class 'str'>,2,0,14,14
paid_transactions,transaction_type,object,REJOIN,<class 'str'>,2,0,14,14
referral_rewards,id,int64,2,<class 'int'>,3,0,3,3
referral_rewards,reward_value,object,10 days,<class 'str'>,3,0,3,3
referral_rewards,created_at,object,2024-03-13T02:44:32Z,<class 'str'>,3,0,3,3
referral_rewards,reward_type,int64,1,<class 'int'>,1,0,3,3
user_logs,id,int64,3,<class 'int'>,29,0,29,29
user_logs,user_id,object,4acfa96cb521b6963b50bcef95bee485,<class 'str'>,9,0,29,29
user_logs,name,object,6380232145160dca709cdb11ae47fb2a,<class 'str'>,7,0,29,29
user_logs,phone_number,object,87e6571bf783832fffc616a308563e7e,<class 'str'>,9,0,29,29
user_logs,homeclub,object,BENHIL,<class 'str'>,6,0,29,29
user_logs,timezone_homeclub,object,Asia/Jakarta,<class 'str'>,2,0,29,29
user_logs,membership_expired_date,object,2026-03-04,<class 'str'>,9,0,29,29
user_logs,is_deleted,bool,False,<class 'bool'>,2,0,29,29
user_referral_logs,id,int64,84,<class 'int'>,96,0,96,96
user_referral_logs,user_referral_id,object,bc3ec4c799f8a9e3aa0eaf48e1c7f6b9,<class 'str'>,78,0,96,96
user_referral_logs,source_transaction_id,object,91273b98dd4ab2ac704baed2329670d2,<class 'str'>,17,79,17,96
user_referral_logs,created_at,object,2024-07-09T09:29:05Z,<class 'str'>,96,0,96,96
user_referral_logs,is_reward_granted,bool,False,<class 'bool'>,2,0,96,96
user_referral_statuses,id,int64,3,<class 'int'>,3,0,3,3
user_referral_statuses,description,object,Berhasil,<class 'str'>,3,0,3,3
user_referral_statuses,created_at,object,2024-03-08T10:07:10Z,<class 'str'>,2,0,3,3
user_referrals,referral_at,object,2024-04-22T15:04:57Z,<class 'str'>,44,0,46,46
user_referrals,referral_id,object,24a62000845ed37ef32e5f5b697480c1,<class 'str'>,46,0,46,46
user_referrals,referee_id,object,04aec3adea13099cb24c4cc784f05f3d,<class 'str'>,37,3,43,46
user_referrals,referee_name,object,4f5649d2d7b3ee9406436f026094c1fe,<class 'str'>,35,3,43,46
user_referrals,referee_phone,object,9111714a748c4740549dd03faab253b6,<class 'str'>,33,0,46,46
user_referrals,referral_reward_id,float64,1.0,<class 'float'>,3,38,8,46
user_referrals,referral_source,object,User Sign Up,<class 'str'>,3,0,46,46
user_referrals,referrer_id,object,4acfa96cb521b6963b50bcef95bee485,<class 'str'>,13,13,33,46
user_referrals,transaction_id,object,09b9ee18ba1969f7ce8d23546ae09555,<class 'str'>,27,13,33,46
user_referrals,updated_at,object,2024-05-03T02:00:59Z,<class 'str'>,40,0,46,46
user_referrals,user_referral_status_id,int64,1,<class 'int'>,3,0,46,46
